epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.5226,1.35349,3.46534,1.30595,0.09513,0.34384,0.06394,0.03812,0.92975,3.22644,0.94813,8e-05,8e-05,8e-05
2,148.553,1.10336,3.32765,1.11596,0.23846,0.86191,0.24328,0.17493,0.87889,3.10733,0.8957,0.000179406,0.000179406,0.000179406
3,150.252,0.88026,2.86599,0.96471,0.26949,0.97405,0.37734,0.27357,0.88624,3.05886,0.89808,0.000278152,0.000278152,0.000278152
4,151.69,0.93038,2.4626,0.95119,0.27128,0.98054,0.41302,0.29641,0.90696,3.00388,0.89692,0.000376238,0.000376238,0.000376238
5,153.105,0.91418,2.24933,0.92966,0.27359,0.98888,0.41496,0.28743,0.96414,2.93644,0.90207,0.000473664,0.000473664,0.000473664
6,154.496,0.93941,1.85502,0.94124,0.27179,0.98239,0.42053,0.30179,0.91184,2.89175,0.89449,0.00057043,0.00057043,0.00057043
7,155.93,0.89355,1.66011,0.91895,0.27333,0.98795,0.44686,0.30958,0.9801,2.80617,0.91139,0.000666536,0.000666536,0.000666536
8,157.344,0.88446,1.33434,0.90838,0.2741,0.99073,0.44377,0.30218,1.02609,2.73144,0.94541,0.000761982,0.000761982,0.000761982
9,158.797,0.89766,1.11444,0.92041,0.27154,0.98146,0.59593,0.40984,0.9805,2.64231,0.94145,0.000856768,0.000856768,0.000856768
10,160.204,0.85512,0.92672,0.91297,0.27333,0.98795,0.69017,0.48168,1.01104,2.41172,0.94628,0.000950894,0.000950894,0.000950894
11,161.643,0.84736,0.8343,0.90395,0.84464,0.61976,0.83381,0.59662,0.96625,2.04998,0.91918,0.00104436,0.00104436,0.00104436
12,163.151,0.84788,0.80955,0.92008,0.84868,0.79796,0.91418,0.66593,0.93947,1.65245,0.90835,0.00113717,0.00113717,0.00113717
13,164.594,0.82707,0.7564,0.90907,0.82592,0.83874,0.90477,0.64723,0.94994,1.51042,0.9109,0.00122931,0.00122931,0.00122931
14,166.085,0.84279,0.6962,0.90883,0.88469,0.89594,0.95222,0.66886,0.95665,1.29406,0.91923,0.0013208,0.0013208,0.0013208
15,167.562,0.78896,0.68345,0.89334,0.92517,0.92808,0.96842,0.69601,1.00533,1.05587,0.94402,0.00141162,0.00141162,0.00141162
16,168.973,0.83321,0.68328,0.91595,0.93624,0.93895,0.9733,0.71855,0.93713,0.90973,0.93422,0.00150179,0.00150179,0.00150179
17,170.384,0.81556,0.64696,0.90747,0.95903,0.94625,0.98014,0.74403,0.8548,0.70023,0.93044,0.0015913,0.0015913,0.0015913
18,171.807,0.85266,0.6499,0.90776,0.9646,0.96108,0.98038,0.70046,0.98667,0.68632,0.98217,0.00168014,0.00168014,0.00168014
19,173.143,0.8212,0.59753,0.90442,0.9701,0.9621,0.98274,0.72101,0.92716,0.65355,0.96252,0.00176833,0.00176833,0.00176833
20,174.541,0.81861,0.62742,0.89574,0.966,0.97431,0.98073,0.76066,0.85458,0.60698,0.93893,0.00185585,0.00185585,0.00185585
21,175.939,0.82641,0.61029,0.91574,0.96524,0.97961,0.98653,0.7636,0.84808,0.66684,0.94417,0.001868,0.001868,0.001868
22,177.362,0.80669,0.57786,0.89081,0.9722,0.97683,0.98604,0.76865,0.84194,0.69804,0.94402,0.0018614,0.0018614,0.0018614
23,178.768,0.81746,0.57541,0.89188,0.97484,0.96756,0.98383,0.76956,0.82402,0.66876,0.93407,0.0018548,0.0018548,0.0018548
24,180.205,0.78162,0.58301,0.89558,0.96874,0.97683,0.98664,0.77297,0.82323,0.74081,0.94084,0.0018482,0.0018482,0.0018482
25,181.617,0.75737,0.54177,0.88799,0.97243,0.97776,0.98629,0.76939,0.82754,0.76648,0.9474,0.0018416,0.0018416,0.0018416
26,183.004,0.7399,0.55669,0.88999,0.97055,0.97733,0.98594,0.77589,0.80479,0.70577,0.93206,0.001835,0.001835,0.001835
27,184.386,0.7531,0.53401,0.88426,0.967,0.9759,0.98541,0.77221,0.82467,0.65236,0.93482,0.0018284,0.0018284,0.0018284
28,185.78,0.75527,0.54438,0.90259,0.97234,0.98239,0.99014,0.7818,0.81686,0.71949,0.94313,0.0018218,0.0018218,0.0018218
29,187.151,0.7736,0.54228,0.89481,0.9792,0.97961,0.99132,0.78443,0.80874,0.65214,0.93808,0.0018152,0.0018152,0.0018152
30,188.54,0.72672,0.513,0.89033,0.97708,0.97868,0.99112,0.7705,0.85008,0.585,0.94688,0.0018086,0.0018086,0.0018086
31,189.898,0.74704,0.51612,0.88563,0.97854,0.97868,0.9906,0.78069,0.81996,0.58622,0.9336,0.001802,0.001802,0.001802
32,191.272,0.78407,0.53166,0.89863,0.97608,0.98341,0.99123,0.77997,0.81644,0.58927,0.9385,0.0017954,0.0017954,0.0017954
33,192.663,0.77156,0.51755,0.89671,0.97865,0.97713,0.99127,0.77306,0.84764,0.53944,0.94548,0.0017888,0.0017888,0.0017888
34,193.981,0.7957,0.52532,0.89584,0.97493,0.97293,0.99101,0.7716,0.86205,0.5169,0.94849,0.0017822,0.0017822,0.0017822
35,195.378,0.78873,0.52775,0.89341,0.98186,0.96849,0.99029,0.78205,0.83084,0.50231,0.9328,0.0017756,0.0017756,0.0017756
36,196.85,0.77295,0.56389,0.9136,0.98333,0.96478,0.99101,0.77081,0.83821,0.51803,0.93813,0.001769,0.001769,0.001769
37,198.187,0.75132,0.50308,0.89841,0.98027,0.96694,0.99101,0.77253,0.85235,0.51128,0.94383,0.0017624,0.0017624,0.0017624
38,199.578,0.77824,0.50097,0.90565,0.98035,0.97127,0.99105,0.78351,0.82572,0.50154,0.93499,0.0017558,0.0017558,0.0017558
