epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,511.688,1.12095,0.59441,1.00891,0.91748,0.94531,0.97568,0.71941,1.12176,0.51994,1.01249,0.0017228,0.0017228,0.0017228
44,520.358,1.09707,0.57317,1.01043,0.91924,0.94824,0.97603,0.72203,1.13798,0.51751,1.01179,0.0017162,0.0017162,0.0017162
45,528.685,1.10866,0.58322,1.01412,0.92076,0.94751,0.97261,0.70004,1.24877,0.54008,1.05766,0.0017096,0.0017096,0.0017096
46,537.261,1.09197,0.59167,1.01028,0.92394,0.94305,0.97512,0.72451,1.14464,0.50921,1.01376,0.001703,0.001703,0.001703
47,545.526,1.09836,0.58711,1.00895,0.92103,0.94727,0.97503,0.71617,1.14273,0.50601,1.02194,0.0016964,0.0016964,0.0016964
48,554.12,1.09816,0.58451,1.00752,0.91796,0.92822,0.97097,0.70998,1.13014,0.52232,1.01496,0.0016898,0.0016898,0.0016898
49,562.555,1.11407,0.59421,1.00788,0.92362,0.93884,0.9774,0.71029,1.15751,0.52167,1.02557,0.0016832,0.0016832,0.0016832
50,571.167,1.09963,0.57335,1.00751,0.92812,0.93945,0.97628,0.72077,1.13547,0.50106,1.01275,0.0016766,0.0016766,0.0016766
51,579.441,1.09147,0.56428,0.99483,0.92849,0.93506,0.97448,0.72243,1.15138,0.50349,1.01738,0.00167,0.00167,0.00167
52,588.062,1.07446,0.56868,1.00247,0.91004,0.95336,0.97069,0.7164,1.12106,0.51545,1.00929,0.0016634,0.0016634,0.0016634
53,596.412,1.08508,0.58093,1.00687,0.91822,0.9375,0.97311,0.71605,1.17242,0.52933,1.0296,0.0016568,0.0016568,0.0016568
54,605.01,1.08725,0.57587,1.00606,0.91783,0.95117,0.97572,0.72512,1.16091,0.50841,1.02321,0.0016502,0.0016502,0.0016502
55,613.513,1.09373,0.57685,1.00361,0.92392,0.9375,0.97664,0.7258,1.13002,0.49456,1.01089,0.0016436,0.0016436,0.0016436
56,622.043,1.0746,0.56883,0.99794,0.92358,0.93994,0.97382,0.71909,1.126,0.51362,1.00746,0.001637,0.001637,0.001637
57,630.403,1.09058,0.57822,1.00299,0.92349,0.94302,0.97448,0.72487,1.12432,0.48728,1.00411,0.0016304,0.0016304,0.0016304
58,638.877,1.08417,0.56699,0.9965,0.92278,0.94526,0.9738,0.72415,1.10959,0.4914,1.0066,0.0016238,0.0016238,0.0016238
59,647.362,1.07503,0.56946,0.99667,0.92596,0.94041,0.97377,0.71563,1.16122,0.51597,1.02911,0.0016172,0.0016172,0.0016172
60,655.845,1.101,0.57548,1.00115,0.9353,0.93173,0.9785,0.72104,1.13226,0.49506,1.01174,0.0016106,0.0016106,0.0016106
61,664.265,1.07563,0.57065,0.99866,0.92053,0.94448,0.97379,0.72276,1.14502,0.51917,1.01438,0.001604,0.001604,0.001604
62,672.779,1.07197,0.56663,1.00016,0.92713,0.93808,0.97459,0.7199,1.14534,0.51212,1.01289,0.0015974,0.0015974,0.0015974
63,681.366,1.07841,0.56442,1.00204,0.93536,0.93272,0.97683,0.71894,1.19883,0.5188,1.03567,0.0015908,0.0015908,0.0015908
64,689.963,1.10663,0.56502,0.99972,0.92072,0.94336,0.97533,0.71815,1.1323,0.49894,1.01042,0.0015842,0.0015842,0.0015842
65,698.544,1.09403,0.56609,1.00061,0.92903,0.94189,0.97626,0.73012,1.10451,0.49219,1.00382,0.0015776,0.0015776,0.0015776
66,707.018,1.07122,0.56044,0.99751,0.93441,0.92511,0.97223,0.72315,1.15263,0.5082,1.01874,0.001571,0.001571,0.001571
67,715.576,1.09076,0.57404,0.99486,0.92384,0.93994,0.97644,0.72371,1.15933,0.50003,1.02312,0.0015644,0.0015644,0.0015644
68,723.875,1.05692,0.54879,0.99679,0.9268,0.94189,0.97599,0.71924,1.15721,0.50089,1.02235,0.0015578,0.0015578,0.0015578
69,732.46,1.05289,0.54484,0.99113,0.92256,0.94336,0.9762,0.72355,1.12887,0.50512,1.01538,0.0015512,0.0015512,0.0015512
70,740.893,1.06997,0.56321,0.99752,0.92953,0.93115,0.97311,0.72404,1.15321,0.50155,1.02005,0.0015446,0.0015446,0.0015446
71,749.581,1.08487,0.56206,0.99627,0.91992,0.94092,0.97572,0.72919,1.09977,0.4815,0.99431,0.001538,0.001538,0.001538
72,757.769,1.09021,0.5553,1.0073,0.92393,0.94299,0.97729,0.72655,1.15573,0.51053,1.01541,0.0015314,0.0015314,0.0015314
73,766.386,1.0846,0.56484,0.99378,0.92185,0.93994,0.97569,0.7245,1.13801,0.49671,1.02137,0.0015248,0.0015248,0.0015248
74,774.724,1.06674,0.55407,1.00175,0.92656,0.93848,0.97494,0.72937,1.11191,0.49257,1.00836,0.0015182,0.0015182,0.0015182
75,783.228,1.05798,0.54578,0.99233,0.92139,0.93856,0.97448,0.72845,1.14087,0.51077,1.01506,0.0015116,0.0015116,0.0015116
76,791.549,1.0726,0.55426,0.98929,0.91609,0.94189,0.96975,0.71442,1.16623,0.50683,1.02775,0.001505,0.001505,0.001505
77,800.27,1.05857,0.55281,0.99364,0.91781,0.95117,0.97609,0.72466,1.159,0.50276,1.02379,0.0014984,0.0014984,0.0014984
78,808.717,1.07619,0.55542,0.99477,0.92211,0.9375,0.97395,0.72822,1.12635,0.4935,1.01007,0.0014918,0.0014918,0.0014918
79,817.405,1.06527,0.56235,0.99557,0.92112,0.94482,0.9762,0.72129,1.16734,0.50815,1.02117,0.0014852,0.0014852,0.0014852
80,825.834,1.06856,0.55721,0.99705,0.9129,0.95117,0.976,0.72794,1.159,0.4888,1.02916,0.0014786,0.0014786,0.0014786
81,834.61,1.05043,0.54618,0.98661,0.9186,0.9458,0.97646,0.73073,1.13232,0.48772,1.01361,0.001472,0.001472,0.001472
82,842.939,1.05383,0.55272,0.98838,0.92661,0.94318,0.97651,0.71595,1.21955,0.50124,1.04631,0.0014654,0.0014654,0.0014654
83,851.617,1.06142,0.54,0.98748,0.91685,0.94224,0.97386,0.72184,1.16072,0.49539,1.02296,0.0014588,0.0014588,0.0014588
84,860.143,1.05138,0.53644,0.98632,0.92484,0.93726,0.97598,0.728,1.14955,0.48592,1.01965,0.0014522,0.0014522,0.0014522
85,868.741,1.06256,0.55062,0.99488,0.92629,0.94493,0.97526,0.72585,1.10841,0.50284,1.00835,0.0014456,0.0014456,0.0014456
86,877.073,1.05807,0.54481,0.99586,0.91437,0.94922,0.97583,0.7203,1.19532,0.4965,1.04012,0.001439,0.001439,0.001439
87,885.637,1.06025,0.55282,0.99127,0.92076,0.94749,0.97708,0.73833,1.12519,0.48752,1.00838,0.0014324,0.0014324,0.0014324
88,894.065,1.03995,0.54229,0.98692,0.92021,0.9458,0.97646,0.72241,1.1637,0.4948,1.02099,0.0014258,0.0014258,0.0014258
89,902.719,1.04385,0.54177,0.99034,0.92323,0.94434,0.97662,0.72916,1.1654,0.49705,1.02501,0.0014192,0.0014192,0.0014192
90,911.087,1.0434,0.54187,0.99095,0.92442,0.94434,0.97759,0.72856,1.16963,0.48883,1.02632,0.0014126,0.0014126,0.0014126
91,919.717,1.07842,0.54449,0.99154,0.9197,0.94385,0.97484,0.72805,1.14225,0.49115,1.0188,0.001406,0.001406,0.001406
