epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.17552,1.17458,3.40391,1.1482,0.2178,0.57758,0.17997,0.13187,0.92906,inf,0.87606,0.00018,0.00018,0.00018
2,151.479,0.9557,2.76215,0.94723,0.25945,0.68802,0.29434,0.19826,1.06014,inf,0.89787,0.000378746,0.000378746,0.000378746
3,154.29,0.96305,2.26585,0.91661,0.29133,0.77257,0.36068,0.23912,1.09356,inf,0.91317,0.000576172,0.000576172,0.000576172
4,156.912,0.97917,1.62424,0.9163,0.28643,0.75957,0.37958,0.25833,1.16374,inf,0.9246,0.000772278,0.000772278,0.000772278
5,159.606,0.96508,1.16618,0.90754,0.68644,0.56552,0.66103,0.4889,1.05402,inf,0.89456,0.000967064,0.000967064,0.000967064
6,162.331,0.91956,0.92213,0.90264,0.96546,0.57258,0.85058,0.62164,1.07813,1.83059,0.89829,0.00116053,0.00116053,0.00116053
7,165.095,0.90628,0.7799,0.90921,0.9006,0.82915,0.92406,0.69577,0.97742,1.34494,0.88512,0.00135268,0.00135268,0.00135268
8,167.934,0.89904,0.75147,0.90939,0.88825,0.92627,0.93714,0.71835,0.90482,0.89652,0.88426,0.0015435,0.0015435,0.0015435
9,170.69,0.87178,0.67229,0.89861,0.90266,0.92481,0.94316,0.71649,0.92356,0.68429,0.89809,0.00173301,0.00173301,0.00173301
10,173.377,0.88423,0.63708,0.89501,0.89323,0.93064,0.93911,0.69697,0.95988,0.77616,0.90945,0.00192119,0.00192119,0.00192119
11,175.958,0.89193,0.63324,0.89923,0.89113,0.92055,0.93124,0.71211,0.89252,0.87707,0.90115,0.001934,0.001934,0.001934
12,178.574,0.88686,0.60812,0.90042,0.8471,0.94488,0.91505,0.70048,0.87809,1.12374,0.89878,0.0019274,0.0019274,0.0019274
13,181.221,0.85752,0.59466,0.89432,0.86413,0.94582,0.93046,0.70399,0.89632,1.03993,0.90099,0.0019208,0.0019208,0.0019208
14,183.888,0.8273,0.58533,0.89286,0.84842,0.94551,0.93232,0.71523,0.8765,1.22132,0.90115,0.0019142,0.0019142,0.0019142
15,186.527,0.83437,0.55119,0.89388,0.86083,0.94218,0.93597,0.72583,0.85895,1.01706,0.89582,0.0019076,0.0019076,0.0019076
